Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,408.5245,0.8675
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,409.6822,0.8675
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.259,0.9279
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.251,0.9279
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.258,0.9279
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.258,0.9279
4x4grid-avoid,N/A,5,0.9_probability__max_goal,	1216,100,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.262,0.9279
4x4grid-avoid,N/A,5,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,37.5039,0.9
4x4grid-avoid,N/A,5,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,38.236,0.9
4x4grid-avoid,N/A,5,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,37.0108,0.9
4x4grid-avoid,N/A,5,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,37.5606,0.9
4x4grid-avoid,N/A,5,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,37.6335,0.9
4x4grid-avoid,N/A,5,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,11.1939,0.9004
4x4grid-avoid,N/A,5,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,11.1272,0.9004
4x4grid-avoid,N/A,5,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,11.2668,0.9004
4x4grid-avoid,N/A,5,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,11.0878,0.9004
4x4grid-avoid,N/A,5,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,11.1628,0.9004
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,4.697,0.9279
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,4.634,0.9279
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,4.725,0.9279
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,4.69,0.9279
4x4grid-avoid,N/A,10,0.9_probability__max_goal,	4931,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,4.643,0.9279
4x4grid-avoid,N/A,10,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,558.2798,0.9004
4x4grid-avoid,N/A,10,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,550.5657,0.9004
4x4grid-avoid,N/A,10,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,558.8407,0.9004
4x4grid-avoid,N/A,10,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,556.5842,0.9004
4x4grid-avoid,N/A,10,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,557.681,0.9004
4x4grid-avoid,N/A,10,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,50.4475,0.9073
4x4grid-avoid,N/A,10,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,50.4094,0.9073
4x4grid-avoid,N/A,10,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,50.2362,0.9073
4x4grid-avoid,N/A,10,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,50.5029,0.9073
4x4grid-avoid,N/A,10,0.9_probability__max_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,50.1344,0.9073
4x4grid,N/A,5,4.2_reward__min_goal,	1410,100,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.321,4.1757
4x4grid,N/A,5,4.2_reward__min_goal,	1410,100,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.371,4.1757
4x4grid,N/A,5,4.2_reward__min_goal,	1410,100,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.371,4.1757
4x4grid,N/A,5,4.2_reward__min_goal,	1410,100,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.373,4.1757
